date_start,date_end,geo_id,geo_level,category_name,hierarchy_level,metric_id,value,node_name,node_external_id
2026-04-01,2026-05-01,GLOBAL,global,onet,0,use_case_work_pct,33.33,Draft a memo,1001
2026-04-01,2026-05-01,GLOBAL,global,onet,0,use_case_personal_pct,33.33,Draft a memo,1001
2026-04-01,2026-05-01,GLOBAL,global,onet,0,use_case_coursework_pct,33.34,Draft a memo,1001
2026-04-01,2026-05-01,GLOBAL,global,onet,0,collaboration_bucket_automation_pct,50.00,Draft a memo,1001
2026-04-01,2026-05-01,GLOBAL,global,soc_occupation,3,collaboration_bucket_augmentation_pct,50.00,Draft a memo,1001
2026-04-01,2026-05-01,GLOBAL,global,onet,0,collaboration_directive_pct,16.67,Draft a memo,1001
2026-04-01,2026-05-01,GLOBAL,global,onet,0,collaboration_feedback_loop_pct,16.67,Draft a memo,1001
2026-04-01,2026-05-01,GLOBAL,global,onet,0,collaboration_task_iteration_pct,16.67,Draft a memo,1001
2026-04-01,2026-05-01,GLOBAL,global,onet,0,collaboration_learning_pct,16.66,Draft a memo,1001
2026-04-01,2026-05-01,GLOBAL,global,onet,0,collaboration_validation_pct,16.66,Draft a memo,1001
2026-04-01,2026-05-01,GLOBAL,global,onet,0,collaboration_none_pct,16.67,Draft a memo,1001
2026-04-01,2026-05-01,GLOBAL,global,onet,0,artifact_academic_paper_or_thesis_pct,3.13,Draft a memo,1001
2026-04-01,2026-05-01,GLOBAL,global,onet,0,artifact_advice_or_recommendation_pct,3.13,Draft a memo,1001
2026-04-01,2026-05-01,GLOBAL,global,onet,0,artifact_analysis_or_summary_pct,3.13,Draft a memo,1001
2026-04-01,2026-05-01,GLOBAL,global,onet,0,artifact_app_or_website_pct,3.13,Draft a memo,1001
2026-04-01,2026-05-01,GLOBAL,global,onet,0,artifact_audio_or_music_pct,3.13,Draft a memo,1001
2026-04-01,2026-05-01,GLOBAL,global,onet,0,artifact_blog_or_article_pct,3.13,Draft a memo,1001
